"GUEST_ID";"COUNTRY_GUEST";"GENDER_ID";"AGE_RANGE";"LAST_2_YEARS_STAYS";"CONFIRMED_RESERVATIONS";"NUM_DISTINCT_HOTELS";"CONFIRMED_RESERVATIONS_ADR";"AVG_LENGTH_STAY";"AVG_BOOKING_LEADTIME";"AVG_SCORE";"RESERVATION_ID";"CHECKIN_DATE";"CHECKOUT_DATE";"HOTEL_ID";"GUEST_NAME";"EMAIL";"PHONE";"NATIONALITY"
"1014907189";"PT";"Femenino";"36-45";"2";"2";"2";"109.24";"3.50";"6.00";"8.0";"1";"2024-12-01";"2024-12-06";"041";"Cláudia Costa";"claudia.costa@gmail.com";"+351 92 490 7189";"Portuguesa"
"1018922044";"IT";"Femenino";"19-25";"1";"1";"1";"226.49";"4.00";"22.00";"7.0";"2";"2026-01-01";"2026-01-05";"011";"Veronica Lombardi";"veronica.lombardi@gmail.com";"+39 349 892 2044";"Italiana"
"1016865415";"IT";"Masculino";"19-25";"1";"1";"1";"310.45";"2.00";"8.00";"8.0";"3";"2025-05-31";"2025-06-02";"026";"Andrea Lombardi";"andrea.lombardi@gmail.com";"+39 320 686 5415";"Italiana"
"1018327847";"IT";"Femenino";"36-45";"1";"1";"1";"340.20";"3.00";"11.00";"9.0";"4";"2025-10-24";"2025-10-27";"243";"Federica Gallo";"federica.gallo@gmail.com";"+39 340 832 7847";"Italiana"
"1013580011";"PT";"Femenino";"36-45";"2";"2";"2";"169.16";"1.00";"37.50";"8.0";"5";"2024-04-30";"2024-05-01";"011";"Sofia Santos";"sofia.santos@gmail.com";"+351 96 358 0011";"Portuguesa"
"1014419889";"PT";"Femenino";"36-45";"1";"1";"1";"184.76";"3.00";"5.00";"7.0";"6";"2024-08-09";"2024-08-12";"243";"Teresa Ferreira";"teresa.ferreira@gmail.com";"+351 92 441 9889";"Portuguesa"
"1017584158";"IT";"Femenino";"26-35";"1";"1";"1";"103.87";"1.00";"8.00";"7.0";"7";"2025-08-11";"2025-08-12";"011";"Ilaria Bianchi";"ilaria.bianchi@gmail.com";"+39 347 758 4158";"Italiana"
"1008922782";"ES";"Masculino";"19-25";"1";"2";"2";"135.42";"1.50";"15.00";"5.0";"8";"2025-05-30";"2025-05-31";"255";"Sergio Ruiz";"sergio.ruiz@gmail.com";"+34 608 922 782";"Española"
"1004674619";"ES";"Femenino";"19-25";"3";"5";"2";"273.37";"1.00";"7.20";"7.0";"9";"2025-12-06";"2025-12-07";"281";"Lucía Pérez";"lucia.perez@gmail.com";"+34 704 674 619";"Española"
"1002066717";"ES";"Masculino";">65";"1";"5";"1";"260.95";"1.00";"6.80";"7.0";"10";"2023-12-09";"2023-12-10";"243";"Alejandro Ramos";"alejandro.ramos@gmail.com";"+34 702 066 717";"Española"
"1013700087";"ES";"Masculino";">65";"1";"1";"1";"187.30";"2.00";"12.00";"7.0";"11";"2024-05-26";"2024-05-28";"208";"Fernando Rodríguez";"fernando.rodriguez@gmail.com";"+34 703 700 087";"Española"
"1016486255";"PT";"Femenino";"26-35";"1";"1";"1";"166.58";"10.00";"38.00";"6.0";"12";"2025-04-20";"2025-04-30";"255";"Sofia Fernandes";"sofia.fernandes@gmail.com";"+351 96 648 6255";"Portuguesa"
"1019003850";"IT";"Masculino";"36-45";"1";"1";"1";"123.56";"1.00";"5.00";"1.0";"13";"2026-01-11";"2026-01-12";"011";"Fabio Lombardi";"fabio.lombardi@gmail.com";"+39 320 900 3850";"Italiana"
"1019380354";"ES";"Masculino";"36-45";"1";"1";"1";"472.33";"1.00";"2.00";"10.0";"14";"2026-02-28";"2026-03-01";"243";"Andrés Fernández";"andres.fernandez@gmail.com";"+34 609 380 354";"Española"
